"resp.id","ques","alt","healthy","pulp","juice","added","price","choice"
"131",2,1,3,"no","none","fresh","multi","3.89",0
"110",2,2,1,"no","none","fresh","vit_A","3.89",0
"461",2,2,2,"no","none","frozen","vit_B","5.89",0
"210",2,2,3,"no","some","fresh","vit_A","3.89",1
"171",2,3,1,"no","some","frozen","multi","3.89",1
"361",2,3,2,"no","lots","frozen","multi","4.89",0
"231",2,3,3,"no","some","frozen","vit_A","4.89",0
"181",2,4,1,"no","lots","frozen","multi","3.89",1
"191",2,4,2,"no","none","fresh","vit_A","4.89",0
"541",2,4,3,"no","lots","frozen","multi","5.89",0
"50",2,5,1,"no","some","fresh","multi","5.89",0
"321",2,5,2,"no","some","fresh","multi","4.89",0
"251",2,5,3,"no","none","fresh","vit_B","4.89",1
"531",2,6,1,"no","some","frozen","multi","5.89",0
"151",2,6,2,"no","lots","fresh","multi","3.89",1
"101",2,6,3,"no","none","frozen","vit_B","3.89",0
"61",2,7,1,"no","lots","frozen","vit_A","3.89",1
"261",2,7,2,"no","some","fresh","vit_B","4.89",0
"431",2,7,3,"no","none","fresh","vit_B","5.89",0
"211",2,8,1,"no","lots","fresh","vit_A","4.89",1
"81",2,8,2,"no","some","fresh","vit_B","3.89",0
"121",2,8,3,"no","lots","frozen","vit_B","3.89",0
"241",2,9,1,"no","lots","frozen","vit_A","4.89",1
"35",2,9,2,"no","some","frozen","multi","4.89",0
"521",2,9,3,"no","none","frozen","multi","5.89",0
"471",2,10,1,"no","some","frozen","vit_B","5.89",0
"22",2,10,2,"no","none","frozen","vit_A","4.89",1
"291",2,10,3,"no","some","frozen","vit_B","4.89",0
"281",2,11,1,"no","none","frozen","vit_B","4.89",0
"421",2,11,2,"no","lots","frozen","vit_A","5.89",0
"40",2,11,3,"no","none","frozen","vit_A","5.89",1
"91",2,12,1,"no","lots","fresh","vit_B","3.89",0
"71",2,12,2,"no","none","fresh","vit_B","3.89",1
"271",2,12,3,"no","lots","fresh","vit_B","4.89",0
"451",2,13,1,"no","lots","fresh","vit_B","5.89",0
"161",2,13,2,"no","none","frozen","multi","3.89",1
"3",2,13,3,"no","lots","fresh","vit_A","3.89",0
"311",2,14,1,"no","none","fresh","multi","4.89",0
"410",2,14,2,"no","none","frozen","vit_A","3.89",1
"111",2,14,3,"no","some","frozen","vit_B","3.89",0
"341",2,15,1,"no","none","frozen","multi","4.89",1
"511",2,15,2,"no","lots","fresh","multi","5.89",0
"44",2,15,3,"no","some","fresh","vit_B","5.89",0
"122",3,1,1,"no","lots","frozen","vit_B","3.89",1
"312",3,1,2,"no","none","fresh","multi","4.89",0
"532",3,1,3,"no","some","frozen","multi","5.89",0
"422",3,2,1,"no","lots","frozen","vit_A","5.89",0
"232",3,2,2,"no","some","frozen","vit_A","4.89",1
"92",3,2,3,"no","lots","fresh","vit_B","3.89",0
"30",3,3,1,"no","lots","frozen","vit_B","4.89",1
"102",3,3,2,"no","none","frozen","vit_B","3.89",0
"162",3,3,3,"no","none","frozen","multi","3.89",0
"322",3,4,1,"no","some","fresh","multi","4.89",0
"441",3,4,2,"no","some","fresh","vit_B","5.89",0
"452",3,4,3,"no","lots","fresh","vit_B","5.89",1
"212",3,5,1,"no","lots","fresh","vit_A","4.89",0
"412",3,5,2,"no","none","frozen","vit_A","3.89",0
"62",3,5,3,"no","lots","frozen","vit_A","3.89",1
"481",3,6,1,"no","lots","frozen","vit_B","5.89",0
"362",3,6,2,"no","lots","frozen","multi","4.89",0
"37",3,6,3,"no","none","fresh","vit_A","5.89",1
"112",3,7,1,"no","some","frozen","vit_B","3.89",1
"391",3,7,2,"no","lots","fresh","vit_A","5.89",0
"55",3,7,3,"no","some","frozen","vit_A","3.89",0
"172",3,8,1,"no","some","frozen","multi","3.89",0
"113",3,8,2,"no","none","fresh","vit_A","3.89",1
"432",3,8,3,"no","none","fresh","vit_B","5.89",0
"492",3,9,1,"no","none","fresh","multi","5.89",0
"272",3,9,2,"no","lots","fresh","vit_B","4.89",0
"221",3,9,3,"no","none","frozen","vit_A","4.89",1
"192",3,10,1,"no","none","fresh","vit_A","4.89",1
"542",3,10,2,"no","lots","frozen","multi","5.89",0
"33",3,10,3,"no","lots","fresh","multi","4.89",0
"182",3,11,1,"no","lots","frozen","multi","3.89",0
"213",3,11,2,"no","some","fresh","vit_A","3.89",1
"201",3,11,3,"no","some","fresh","vit_A","4.89",0
"522",3,12,1,"no","none","frozen","multi","5.89",0
"512",3,12,2,"no","lots","fresh","multi","5.89",0
"381",3,12,3,"no","some","fresh","vit_A","5.89",1
"242",3,13,1,"no","lots","frozen","vit_A","4.89",1
"152",3,13,2,"no","lots","fresh","multi","3.89",0
"252",3,13,3,"no","none","fresh","vit_B","4.89",0
"342",3,14,1,"no","none","frozen","multi","4.89",1
"401",3,14,2,"no","none","frozen","vit_A","5.89",0
"462",3,14,3,"no","none","frozen","vit_B","5.89",0
"141",3,15,1,"no","some","fresh","multi","3.89",1
"282",3,15,2,"no","none","frozen","vit_B","4.89",0
"472",3,15,3,"no","some","frozen","vit_B","5.89",0
"132",4,1,1,"no","none","fresh","multi","3.89",0
"163",4,1,2,"no","none","frozen","multi","3.89",1
"93",4,1,3,"no","lots","fresh","vit_B","3.89",0
"202",4,2,1,"no","some","fresh","vit_A","4.89",0
"323",4,2,2,"no","some","fresh","multi","4.89",0
"72",4,2,3,"no","none","fresh","vit_B","3.89",1
"402",4,3,1,"no","none","frozen","vit_A","5.89",0
"413",4,3,2,"no","none","frozen","vit_A","3.89",1
"233",4,3,3,"no","some","frozen","vit_A","4.89",0
"343",4,4,1,"no","none","frozen","multi","4.89",1
"214",4,4,2,"no","lots","fresh","vit_A","4.89",0
"262",4,4,3,"no","some","fresh","vit_B","4.89",0
"215",4,5,1,"no","some","fresh","vit_A","3.89",0
"114",4,5,2,"no","none","fresh","vit_A","3.89",1
"331",4,5,3,"no","lots","fresh","multi","4.89",0
"363",4,6,1,"no","lots","frozen","multi","4.89",0
"273",4,6,2,"no","lots","fresh","vit_B","4.89",0
"313",4,6,3,"no","none","fresh","multi","4.89",1
"433",4,7,1,"no","none","fresh","vit_B","5.89",0
"351",4,7,2,"no","some","frozen","multi","4.89",0
"103",4,7,3,"no","none","frozen","vit_B","3.89",1
"493",4,8,1,"no","none","fresh","multi","5.89",0
"222",4,8,2,"no","none","frozen","vit_A","4.89",1
"283",4,8,3,"no","none","frozen","vit_B","4.89",0
"423",4,9,1,"no","lots","frozen","vit_A","5.89",0
"115",4,9,2,"no","some","frozen","vit_B","3.89",1
"310",4,9,3,"no","lots","fresh","vit_A","3.89",0
"142",4,10,1,"no","some","fresh","multi","3.89",0
"414",4,10,2,"no","some","frozen","vit_A","5.89",0
"56",4,10,3,"no","some","frozen","vit_A","3.89",1
"153",4,11,1,"no","lots","fresh","multi","3.89",0
"301",4,11,2,"no","lots","frozen","vit_B","4.89",0
"253",4,11,3,"no","none","fresh","vit_B","4.89",1
"463",4,12,1,"no","none","frozen","vit_B","5.89",0
"442",4,12,2,"no","some","fresh","vit_B","5.89",1
"392",4,12,3,"no","lots","fresh","vit_A","5.89",0
"513",4,13,1,"no","lots","fresh","multi","5.89",0
"371",4,13,2,"no","none","fresh","vit_A","5.89",0
"382",4,13,3,"no","some","fresh","vit_A","5.89",1
"183",4,14,1,"no","lots","frozen","multi","3.89",0
"453",4,14,2,"no","lots","fresh","vit_B","5.89",0
"533",4,14,3,"no","some","frozen","multi","5.89",1
"543",4,15,1,"no","lots","frozen","multi","5.89",0
"292",4,15,2,"no","some","frozen","vit_B","4.89",1
"501",4,15,3,"no","some","fresh","multi","5.89",0
"523",5,1,1,"yes","none","frozen","multi","5.89",0
"415",5,1,2,"yes","some","frozen","vit_A","5.89",0
"73",5,1,3,"yes","none","fresh","vit_B","3.89",1
"216",5,2,1,"yes","lots","fresh","vit_A","4.89",0
"482",5,2,2,"yes","lots","frozen","vit_B","5.89",1
"332",5,2,3,"yes","lots","fresh","multi","4.89",0
"434",5,3,1,"yes","none","fresh","vit_B","5.89",1
"514",5,3,2,"yes","lots","fresh","multi","5.89",0
"314",5,3,3,"yes","lots","fresh","vit_A","3.89",0
"104",5,4,1,"yes","none","frozen","vit_B","3.89",1
"133",5,4,2,"yes","none","fresh","multi","3.89",0
"454",5,4,3,"yes","lots","fresh","vit_B","5.89",0
"403",5,5,1,"yes","none","frozen","vit_A","5.89",0
"184",5,5,2,"yes","lots","frozen","multi","3.89",1
"464",5,5,3,"yes","none","frozen","vit_B","5.89",0
"82",5,6,1,"yes","some","fresh","vit_B","3.89",1
"203",5,6,2,"yes","some","fresh","vit_A","4.89",0
"284",5,6,3,"yes","none","frozen","vit_B","4.89",0
"383",5,7,1,"yes","some","fresh","vit_A","5.89",0
"352",5,7,2,"yes","some","frozen","multi","4.89",0
"193",5,7,3,"yes","none","fresh","vit_A","4.89",1
"534",5,8,1,"yes","some","frozen","multi","5.89",0
"315",5,8,2,"yes","none","fresh","multi","4.89",0
"164",5,8,3,"yes","none","frozen","multi","3.89",1
"502",5,9,1,"yes","some","fresh","multi","5.89",0
"372",5,9,2,"yes","none","fresh","vit_A","5.89",0
"94",5,9,3,"yes","lots","fresh","vit_B","3.89",1
"293",5,10,1,"yes","some","frozen","vit_B","4.89",0
"443",5,10,2,"yes","some","fresh","vit_B","5.89",0
"302",5,10,3,"yes","lots","frozen","vit_B","4.89",1
"143",5,11,1,"yes","some","fresh","multi","3.89",0
"344",5,11,2,"yes","none","frozen","multi","4.89",1
"364",5,11,3,"yes","lots","frozen","multi","4.89",0
"63",5,12,1,"yes","lots","frozen","vit_A","3.89",1
"57",5,12,2,"yes","some","frozen","vit_A","3.89",0
"116",5,12,3,"yes","none","fresh","vit_A","3.89",0
"223",5,13,1,"yes","none","frozen","vit_A","4.89",0
"544",5,13,2,"yes","lots","frozen","multi","5.89",0
"234",5,13,3,"yes","some","frozen","vit_A","4.89",1
"254",5,14,1,"yes","none","fresh","vit_B","4.89",0
"117",5,14,2,"yes","some","frozen","vit_B","3.89",1
"154",5,14,3,"yes","lots","fresh","multi","3.89",0
"173",5,15,1,"yes","some","frozen","multi","3.89",0
"416",5,15,2,"yes","none","frozen","vit_A","3.89",1
"263",5,15,3,"yes","some","fresh","vit_B","4.89",0
"503",6,1,1,"no","some","fresh","multi","5.89",0
"58",6,1,2,"no","some","frozen","vit_A","3.89",1
"545",6,1,3,"no","lots","frozen","multi","5.89",0
"515",6,2,1,"no","lots","fresh","multi","5.89",0
"316",6,2,2,"no","lots","fresh","vit_A","3.89",0
"224",6,2,3,"no","none","frozen","vit_A","4.89",1
"324",6,3,1,"no","some","fresh","multi","4.89",0
"535",6,3,2,"no","some","frozen","multi","5.89",0
"264",6,3,3,"no","some","fresh","vit_B","4.89",1
"217",6,4,1,"no","some","fresh","vit_A","3.89",1
"144",6,4,2,"no","some","fresh","multi","3.89",0
"317",6,4,3,"no","none","fresh","multi","4.89",0
"417",6,5,1,"no","some","frozen","vit_A","5.89",0
"118",6,5,2,"no","none","fresh","vit_A","3.89",0
"243",6,5,3,"no","lots","frozen","vit_A","4.89",1
"424",6,6,1,"no","lots","frozen","vit_A","5.89",1
"74",6,6,2,"no","none","fresh","vit_B","3.89",0
"255",6,6,3,"no","none","fresh","vit_B","4.89",0
"404",6,7,1,"no","none","frozen","vit_A","5.89",1
"473",6,7,2,"no","some","frozen","vit_B","5.89",0
"384",6,7,3,"no","some","fresh","vit_A","5.89",0
"365",6,8,1,"no","lots","frozen","multi","4.89",1
"303",6,8,2,"no","lots","frozen","vit_B","4.89",0
"274",6,8,3,"no","lots","fresh","vit_B","4.89",0
"83",6,9,1,"no","some","fresh","vit_B","3.89",1
"444",6,9,2,"no","some","fresh","vit_B","5.89",0
"174",6,9,3,"no","some","frozen","multi","3.89",0
"393",6,10,1,"no","lots","fresh","vit_A","5.89",0
"218",6,10,2,"no","lots","fresh","vit_A","4.89",1
"353",6,10,3,"no","some","frozen","multi","4.89",0
"235",6,11,1,"no","some","frozen","vit_A","4.89",1
"165",6,11,2,"no","none","frozen","multi","3.89",0
"333",6,11,3,"no","lots","fresh","multi","4.89",0
"155",6,12,1,"no","lots","fresh","multi","3.89",0
"465",6,12,2,"no","none","frozen","vit_B","5.89",0
"345",6,12,3,"no","none","frozen","multi","4.89",1
"119",6,13,1,"no","some","frozen","vit_B","3.89",0
"204",6,13,2,"no","some","fresh","vit_A","4.89",0
"105",6,13,3,"no","none","frozen","vit_B","3.89",1
"294",6,14,1,"no","some","frozen","vit_B","4.89",1
"64",6,14,2,"no","lots","frozen","vit_A","3.89",0
"524",6,14,3,"no","none","frozen","multi","5.89",0
"95",6,15,1,"no","lots","fresh","vit_B","3.89",0
"285",6,15,2,"no","none","frozen","vit_B","4.89",1
"123",6,15,3,"no","lots","frozen","vit_B","3.89",0
"318",7,1,1,"no","lots","fresh","vit_A","3.89",1
"546",7,1,2,"no","lots","frozen","multi","5.89",0
"166",7,1,3,"no","none","frozen","multi","3.89",0
"120",7,2,1,"no","none","fresh","vit_A","3.89",1
"84",7,2,2,"no","some","fresh","vit_B","3.89",0
"466",7,2,3,"no","none","frozen","vit_B","5.89",0
"525",7,3,1,"no","none","frozen","multi","5.89",1
"334",7,3,2,"no","lots","fresh","multi","4.89",0
"516",7,3,3,"no","lots","fresh","multi","5.89",0
"295",7,4,1,"no","some","frozen","vit_B","4.89",0
"265",7,4,2,"no","some","fresh","vit_B","4.89",0
"96",7,4,3,"no","lots","fresh","vit_B","3.89",1
"124",7,5,1,"no","lots","frozen","vit_B","3.89",1
"483",7,5,2,"no","lots","frozen","vit_B","5.89",0
"425",7,5,3,"no","lots","frozen","vit_A","5.89",0
"256",7,6,1,"no","none","fresh","vit_B","4.89",1
"145",7,6,2,"no","some","fresh","multi","3.89",0
"134",7,6,3,"no","none","fresh","multi","3.89",0
"445",7,7,1,"no","some","fresh","vit_B","5.89",0
"244",7,7,2,"no","lots","frozen","vit_A","4.89",1
"373",7,7,3,"no","none","fresh","vit_A","5.89",0
"275",7,8,1,"no","lots","fresh","vit_B","4.89",0
"59",7,8,2,"no","some","frozen","vit_A","3.89",0
"405",7,8,3,"no","none","frozen","vit_A","5.89",1
"474",7,9,1,"no","some","frozen","vit_B","5.89",0
"205",7,9,2,"no","some","fresh","vit_A","4.89",1
"156",7,9,3,"no","lots","fresh","multi","3.89",0
"346",7,10,1,"no","none","frozen","multi","4.89",0
"435",7,10,2,"no","none","fresh","vit_B","5.89",1
"1110",7,10,3,"no","some","frozen","vit_B","3.89",0
"418",7,11,1,"no","some","frozen","vit_A","5.89",0
"219",7,11,2,"no","lots","fresh","vit_A","4.89",0
"220",7,11,3,"no","some","fresh","vit_A","3.89",1
"394",7,12,1,"no","lots","fresh","vit_A","5.89",0
"455",7,12,2,"no","lots","fresh","vit_B","5.89",0
"75",7,12,3,"no","none","fresh","vit_B","3.89",1
"419",7,13,1,"no","none","frozen","vit_A","3.89",0
"354",7,13,2,"no","some","frozen","multi","4.89",0
"236",7,13,3,"no","some","frozen","vit_A","4.89",1
"225",7,14,1,"no","none","frozen","vit_A","4.89",1
"385",7,14,2,"no","some","fresh","vit_A","5.89",0
"504",7,14,3,"no","some","fresh","multi","5.89",0
"319",7,15,1,"no","none","fresh","multi","4.89",0
"304",7,15,2,"no","lots","frozen","vit_B","4.89",0
"194",7,15,3,"no","none","fresh","vit_A","4.89",1
"185",8,1,1,"yes","lots","frozen","multi","3.89",1
"195",8,1,2,"yes","none","fresh","vit_A","4.89",0
"467",8,1,3,"yes","none","frozen","vit_B","5.89",0
"335",8,2,1,"yes","lots","fresh","multi","4.89",0
"175",8,2,2,"yes","some","frozen","multi","3.89",0
"97",8,2,3,"yes","lots","fresh","vit_B","3.89",1
"366",8,3,1,"yes","lots","frozen","multi","4.89",0
"305",8,3,2,"yes","lots","frozen","vit_B","4.89",0
"266",8,3,3,"yes","some","fresh","vit_B","4.89",1
"1111",8,4,1,"yes","some","frozen","vit_B","3.89",1
"257",8,4,2,"yes","none","fresh","vit_B","4.89",0
"167",8,4,3,"yes","none","frozen","multi","3.89",0
"536",8,5,1,"yes","some","frozen","multi","5.89",0
"286",8,5,2,"yes","none","frozen","vit_B","4.89",1
"494",8,5,3,"yes","none","fresh","multi","5.89",0
"237",8,6,1,"yes","some","frozen","vit_A","4.89",0
"125",8,6,2,"yes","none","fresh","vit_A","3.89",0
"135",8,6,3,"yes","none","fresh","multi","3.89",1
"517",8,7,1,"yes","lots","fresh","multi","5.89",0
"245",8,7,2,"yes","lots","frozen","vit_A","4.89",0
"436",8,7,3,"yes","none","fresh","vit_B","5.89",1
"126",8,8,1,"yes","lots","frozen","vit_B","3.89",0
"2110",8,8,2,"yes","lots","fresh","vit_A","4.89",0
"76",8,8,3,"yes","none","fresh","vit_B","3.89",1
"406",8,9,1,"yes","none","frozen","vit_A","5.89",0
"484",8,9,2,"yes","lots","frozen","vit_B","5.89",0
"3110",8,9,3,"yes","none","fresh","multi","4.89",1
"4110",8,10,1,"yes","some","frozen","vit_A","5.89",0
"456",8,10,2,"yes","lots","fresh","vit_B","5.89",0
"65",8,10,3,"yes","lots","frozen","vit_A","3.89",1
"526",8,11,1,"yes","none","frozen","multi","5.89",0
"355",8,11,2,"yes","some","frozen","multi","4.89",1
"157",8,11,3,"yes","lots","fresh","multi","3.89",0
"426",8,12,1,"yes","lots","frozen","vit_A","5.89",0
"547",8,12,2,"yes","lots","frozen","multi","5.89",0
"226",8,12,3,"yes","some","fresh","vit_A","3.89",1
"296",8,13,1,"yes","some","frozen","vit_B","4.89",0
"320",8,13,2,"yes","lots","fresh","vit_A","3.89",0
"146",8,13,3,"yes","some","fresh","multi","3.89",1
"420",8,14,1,"yes","none","frozen","vit_A","3.89",1
"374",8,14,2,"yes","none","fresh","vit_A","5.89",0
"325",8,14,3,"yes","some","fresh","multi","4.89",0
"505",8,15,1,"yes","some","fresh","multi","5.89",1
"446",8,15,2,"yes","some","fresh","vit_B","5.89",0
"475",8,15,3,"yes","some","frozen","vit_B","5.89",0
"356",9,1,1,"no","some","frozen","multi","4.89",0
"106",9,1,2,"no","none","frozen","vit_B","3.89",1
"306",9,1,3,"no","lots","frozen","vit_B","4.89",0
"287",9,2,1,"no","none","frozen","vit_B","4.89",1
"258",9,2,2,"no","none","fresh","vit_B","4.89",0
"506",9,2,3,"no","some","fresh","multi","5.89",0
"4111",9,3,1,"no","some","frozen","vit_A","5.89",1
"3111",9,3,2,"no","none","fresh","multi","4.89",0
"427",9,3,3,"no","lots","frozen","vit_A","5.89",0
"548",9,4,1,"no","lots","frozen","multi","5.89",0
"468",9,4,2,"no","none","frozen","vit_B","5.89",1
"336",9,4,3,"no","lots","fresh","multi","4.89",0
"367",9,5,1,"no","lots","frozen","multi","4.89",0
"510",9,5,2,"no","some","frozen","vit_A","3.89",1
"147",9,5,3,"no","some","fresh","multi","3.89",0
"447",9,6,1,"no","some","fresh","vit_B","5.89",1
"537",9,6,2,"no","some","frozen","multi","5.89",0
"518",9,6,3,"no","lots","fresh","multi","5.89",0
"136",9,7,1,"no","none","fresh","multi","3.89",0
"66",9,7,2,"no","lots","frozen","vit_A","3.89",1
"386",9,7,3,"no","some","fresh","vit_A","5.89",0
"206",9,8,1,"no","some","fresh","vit_A","4.89",0
"168",9,8,2,"no","none","frozen","multi","3.89",1
"176",9,8,3,"no","some","frozen","multi","3.89",0
"246",9,9,1,"no","lots","frozen","vit_A","4.89",1
"326",9,9,2,"no","some","fresh","multi","4.89",0
"127",9,9,3,"no","none","fresh","vit_A","3.89",0
"476",9,10,1,"no","some","frozen","vit_B","5.89",0
"347",9,10,2,"no","none","frozen","multi","4.89",1
"437",9,10,3,"no","none","fresh","vit_B","5.89",0
"327",9,11,1,"no","lots","fresh","vit_A","3.89",1
"186",9,11,2,"no","lots","frozen","multi","3.89",0
"238",9,11,3,"no","some","frozen","vit_A","4.89",0
"98",9,12,1,"no","lots","fresh","vit_B","3.89",0
"227",9,12,2,"no","none","frozen","vit_A","4.89",1
"495",9,12,3,"no","none","fresh","multi","5.89",0
"1112",9,13,1,"no","some","frozen","vit_B","3.89",0
"196",9,13,2,"no","none","fresh","vit_A","4.89",1
"276",9,13,3,"no","lots","fresh","vit_B","4.89",0
"485",9,14,1,"no","lots","frozen","vit_B","5.89",0
"158",9,14,2,"no","lots","fresh","multi","3.89",0
"228",9,14,3,"no","some","fresh","vit_A","3.89",1
"2111",9,15,1,"no","lots","fresh","vit_A","4.89",1
"457",9,15,2,"no","lots","fresh","vit_B","5.89",0
"527",9,15,3,"no","none","frozen","multi","5.89",0
"549",10,1,1,"no","lots","frozen","multi","5.89",0
"375",10,1,2,"no","none","fresh","vit_A","5.89",1
"477",10,1,3,"no","some","frozen","vit_B","5.89",0
"368",10,2,1,"no","lots","frozen","multi","4.89",1
"507",10,2,2,"no","some","fresh","multi","5.89",0
"438",10,2,3,"no","none","fresh","vit_B","5.89",0
"395",10,3,1,"no","lots","fresh","vit_A","5.89",0
"85",10,3,2,"no","some","fresh","vit_B","3.89",0
"128",10,3,3,"no","none","fresh","vit_A","3.89",1
"407",10,4,1,"no","none","frozen","vit_A","5.89",0
"297",10,4,2,"no","some","frozen","vit_B","4.89",0
"247",10,4,3,"no","lots","frozen","vit_A","4.89",1
"259",10,5,1,"no","none","fresh","vit_B","4.89",1
"239",10,5,2,"no","some","frozen","vit_A","4.89",0
"328",10,5,3,"no","some","fresh","multi","4.89",0
"357",10,6,1,"no","some","frozen","multi","4.89",0
"428",10,6,2,"no","none","frozen","vit_A","3.89",1
"177",10,6,3,"no","some","frozen","multi","3.89",0
"99",10,7,1,"no","lots","fresh","vit_B","3.89",1
"207",10,7,2,"no","some","fresh","vit_A","4.89",0
"148",10,7,3,"no","some","fresh","multi","3.89",0
"337",10,8,1,"no","lots","fresh","multi","4.89",1
"429",10,8,2,"no","lots","frozen","vit_A","5.89",0
"496",10,8,3,"no","none","fresh","multi","5.89",0
"486",10,9,1,"no","lots","frozen","vit_B","5.89",0
"229",10,9,2,"no","none","frozen","vit_A","4.89",1
"448",10,9,3,"no","some","fresh","vit_B","5.89",0
"67",10,10,1,"no","lots","frozen","vit_A","3.89",1
"538",10,10,2,"no","some","frozen","multi","5.89",0
"267",10,10,3,"no","some","fresh","vit_B","4.89",0
"307",10,11,1,"no","lots","frozen","vit_B","4.89",0
"277",10,11,2,"no","lots","fresh","vit_B","4.89",0
"107",10,11,3,"no","none","frozen","vit_B","3.89",1
"2112",10,12,1,"no","lots","fresh","vit_A","4.89",1
"288",10,12,2,"no","none","frozen","vit_B","4.89",0
"197",10,12,3,"no","none","fresh","vit_A","4.89",0
"1113",10,13,1,"no","some","frozen","vit_B","3.89",0
"77",10,13,2,"no","none","fresh","vit_B","3.89",0
"137",10,13,3,"no","none","fresh","multi","3.89",1
"129",10,14,1,"no","lots","frozen","vit_B","3.89",0
"169",10,14,2,"no","none","frozen","multi","3.89",0
"329",10,14,3,"no","lots","fresh","vit_A","3.89",1
"387",10,15,1,"no","some","fresh","vit_A","5.89",0
"3112",10,15,2,"no","none","fresh","multi","4.89",0
"519",10,15,3,"no","some","frozen","vit_A","3.89",1
"2113",11,1,1,"no","lots","fresh","vit_A","4.89",1
"487",11,1,2,"no","lots","frozen","vit_B","5.89",0
"138",11,1,3,"no","none","fresh","multi","3.89",0
"508",11,2,1,"no","some","fresh","multi","5.89",0
"520",11,2,2,"no","some","frozen","vit_A","3.89",1
"3210",11,2,3,"no","some","fresh","multi","4.89",0
"208",11,3,1,"no","some","fresh","vit_A","4.89",0
"68",11,3,2,"no","lots","frozen","vit_A","3.89",1
"78",11,3,3,"no","none","fresh","vit_B","3.89",0
"178",11,4,1,"no","some","frozen","multi","3.89",0
"396",11,4,2,"no","lots","fresh","vit_A","5.89",0
"2310",11,4,3,"no","some","frozen","vit_A","4.89",1
"497",11,5,1,"no","none","fresh","multi","5.89",0
"1210",11,5,2,"no","lots","frozen","vit_B","3.89",0
"248",11,5,3,"no","lots","frozen","vit_A","4.89",1
"348",11,6,1,"no","none","frozen","multi","4.89",0
"298",11,6,2,"no","some","frozen","vit_B","4.89",0
"358",11,6,3,"no","some","frozen","multi","4.89",1
"330",11,7,1,"no","lots","fresh","vit_A","3.89",1
"278",11,7,2,"no","lots","fresh","vit_B","4.89",0
"268",11,7,3,"no","some","fresh","vit_B","4.89",0
"230",11,8,1,"no","some","fresh","vit_A","3.89",0
"108",11,8,2,"no","none","frozen","vit_B","3.89",0
"430",11,8,3,"no","none","frozen","vit_A","3.89",1
"1114",11,9,1,"no","some","frozen","vit_B","3.89",1
"478",11,9,2,"no","some","frozen","vit_B","5.89",0
"338",11,9,3,"no","lots","fresh","multi","4.89",0
"198",11,10,1,"no","none","fresh","vit_A","4.89",1
"4112",11,10,2,"no","some","frozen","vit_A","5.89",0
"528",11,10,3,"no","none","frozen","multi","5.89",0
"187",11,11,1,"no","lots","frozen","multi","3.89",0
